onset	duration	sample	value
0.0000000000	n/a	0	boundary
22.0110000000	1.0000000000	22011	S 36
34.0570000000	1.0000000000	34057	S 30
46.5020000000	1.0000000000	46502	S 26
59.1940000000	1.0000000000	59194	S 38
72.1100000000	1.0000000000	72110	S 28
84.6970000000	1.0000000000	84697	S 20
99.0710000000	1.0000000000	99071	S 40
112.3750000000	1.0000000000	112375	S 22
125.4320000000	1.0000000000	125432	S 28
138.7480000000	1.0000000000	138748	S 42
152.3230000000	1.0000000000	152323	S 20
164.7210000000	1.0000000000	164721	S 34
179.6010000000	1.0000000000	179601	S 22
194.0350000000	1.0000000000	194035	S 36
207.4450000000	1.0000000000	207445	S 30
222.1840000000	1.0000000000	222184	S 38
237.6760000000	1.0000000000	237676	S 30
252.4380000000	1.0000000000	252438	S 42
265.3310000000	1.0000000000	265331	S 26
279.6230000000	1.0000000000	279623	S 40
293.8910000000	1.0000000000	293891	S 30
308.8420000000	1.0000000000	308842	S 18
322.8520000000	1.0000000000	322852	S 30
336.6150000000	1.0000000000	336615	S 34
350.9070000000	1.0000000000	350907	S 24
365.5640000000	1.0000000000	365564	S 38
379.0560000000	1.0000000000	379056	S 24
392.2660000000	1.0000000000	392266	S 34
405.8640000000	1.0000000000	405864	S 24
417.9680000000	1.0000000000	417968	S 38
430.6730000000	1.0000000000	430673	S 18
444.5650000000	1.0000000000	444565	S 40
458.0100000000	1.0000000000	458010	S 26
472.3960000000	1.0000000000	472396	S 38
486.2880000000	1.0000000000	486288	S 28
500.5100000000	1.0000000000	500510	S 42
513.9200000000	1.0000000000	513920	S 22
529.3060000000	1.0000000000	529306	S 34
542.0450000000	1.0000000000	542045	S 26
554.5490000000	1.0000000000	554549	S 28
566.7360000000	1.0000000000	566736	S 40
581.7340000000	1.0000000000	581734	S 28
594.0260000000	1.0000000000	594026	S 40
605.3780000000	1.0000000000	605378	S 20
616.6940000000	1.0000000000	616694	S 20
629.2680000000	1.0000000000	629268	S 36
643.4550000000	1.0000000000	643455	S 24
656.3000000000	1.0000000000	656300	S 18
669.7690000000	1.0000000000	669769	S 42
684.4610000000	1.0000000000	684461	S 24
696.2120000000	1.0000000000	696212	S 34
711.9510000000	1.0000000000	711951	S 20
724.3850000000	1.0000000000	724385	S 22
737.3360000000	1.0000000000	737336	S 36
750.1810000000	1.0000000000	750181	S 22
763.7910000000	1.0000000000	763791	S 18
778.2600000000	1.0000000000	778260	S 36
791.7050000000	1.0000000000	791705	S 18
804.8910000000	1.0000000000	804891	S 42
819.2540000000	1.0000000000	819254	S 26
